flight_id,tanggal,latitude,longitude,heading,altitude,aircraft_code,registration,time,callsign,airline_icao,timestamp_difference,Runway
7064,10/3/2022,0.4586,101.4445,180,0,A320,9M-AGM,1664756627,AXM427,AXM,6,18
1073,9/27/2022,0.4644,101.4446,182,0,AT76,9M-LMG,1664254205,MXD310,BTK,4,18
2083,9/28/2022,0.4641,101.4446,182,0,AT76,9M-LMG,1664340663,MXD310,BTK,5,18
7485,10/3/2022,0.4545,101.4443,2,0,AT76,9M-LMK,1664773071,MXD310,BTK,8,36
3592,9/29/2022,0.4647,101.4446,182,0,AT76,9M-LMU,1664426764,MXD310,BTK,4,18
6390,10/1/2022,0.4567,101.4444,1,0,AT76,9M-LMU,1664603390,MXD310,BTK,7,36
9052,10/4/2022,0.4658,101.4446,180,0,AT76,9M-LMU,1664859051,MXD310,BTK,6,18
3433,9/29/2022,0.4554,101.4444,1,0,B738,PK-BGQ,1664415883,BTK6856,BTK,2,36
5314,9/30/2022,0.4526,101.4443,1,0,B738,PK-BGQ,1664525862,BTK6854,BTK,4,36
2011,9/28/2022,0.4628,101.4445,181,0,B738,PK-GFH,1664330626,GIA172,GIA,5,18
3511,9/29/2022,0.454,101.4443,2,0,B738,PK-GFH,1664417397,GIA172,GIA,5,36
6152,10/1/2022,0.4552,101.4443,2,0,B738,PK-GFH,1664589599,GIA172,GIA,5,36
7827,10/3/2022,0.4534,101.4443,3,0,AT76,PK-GJT,1664783670,CTV928,CTV,4,36
1576,9/28/2022,0.4634,101.4446,182,0,A320,PK-GLK,1664324662,CTV936,CTV,6,18
10286,10/5/2022,0.4542,101.4443,2,0,B738,PK-GMD,1664935597,GIA172,GIA,5,36
4882,9/30/2022,0.4573,101.4444,1,0,B738,PK-GMI,1664504194,GIA172,,4,36
762,9/27/2022,0.4562,101.4444,2,0,B738,PK-GMW,1664243661,GIA172,GIA,7,36
2826,9/28/2022,0.4564,101.4444,2,0,B738,PK-GMW,1664358662,GIA176,GIA,6,36
9574,10/4/2022,0.4556,101.4444,2,0,B738,PK-GMW,1664876536,GIA176,GIA,9,36
8982,10/4/2022,0.4572,101.4444,1,0,B738,PK-GMX,1664849409,GIA172,GIA,9,36
5488,9/30/2022,0.4557,101.4444,2,0,B738,PK-GMY,1664531985,GIA176,GIA,5,36
1768,9/28/2022,0.4661,101.4447,182,0,A320,PK-GQA,1664327719,CTV934,CTV,6,18
8797,10/4/2022,0.4523,101.4443,2,0,A320,PK-GQA,1664846828,CTV934,CTV,8,36
4766,9/30/2022,0.4544,101.4443,2,0,A320,PK-GQC,1664498106,CTV936,CTV,9,36
5151,9/30/2022,0.454,101.4443,2,0,A320,PK-GQC,1664517426,CTV783,CTV,5,36
9845,10/4/2022,0.4505,101.4442,2,0,A320,PK-GQD,1664884505,CTV938,CTV,6,36
8604,10/3/2022,0.4532,101.4443,2,0,A320,PK-GQE,1664795055,CTV938,CTV,4,36
514,9/27/2022,0.454,101.4443,1,0,A320,PK-GQF,1664238533,CTV936,CTV,5,36
1200,9/27/2022,0.4619,101.4445,180,0,A320,PK-GQF,1664258198,CTV783,CTV,8,18
8737,10/4/2022,0.453,101.4443,2,0,A320,PK-GQF,1664845685,CTV936,CTV,5,36
9096,10/4/2022,0.4523,101.4443,2,0,A320,PK-GQF,1664865996,CTV783,CTV,9,36
581,9/27/2022,0.4551,101.4443,2,0,A320,PK-GQG,1664241801,CTV934,CTV,8,36
6791,10/1/2022,0.4514,101.4443,2,0,A320,PK-GQH,1664623054,CTV938,CTV,4,36
6999,10/2/2022,0.4547,101.4443,2,0,A320,PK-GQJ,1664671103,CTV936,CTV,6,36
4467,9/29/2022,0.4656,101.4446,182,0,A320,PK-GQK,1664449433,CTV938,CTV,9,18
