flight_id,tanggal,latitude,longitude,heading,altitude,aircraft_code,registration,time,callsign,airline_icao
7048,10/3/2022,0.5102,101.4461,182,1050,A320,9M-AGM,1664756548,AXM427,AXM
7049,10/3/2022,0.5058,101.4459,181,950,A320,9M-AGM,1664756554,AXM427,AXM
7050,10/3/2022,0.5039,101.4458,181,925,A320,9M-AGM,1664756557,AXM427,AXM
7051,10/3/2022,0.5013,101.4458,181,850,A320,9M-AGM,1664756560,AXM427,AXM
7052,10/3/2022,0.4973,101.4457,181,775,A320,9M-AGM,1664756566,AXM427,AXM
7053,10/3/2022,0.4933,101.4455,182,700,A320,9M-AGM,1664756572,AXM427,AXM
7054,10/3/2022,0.4889,101.4453,182,625,A320,9M-AGM,1664756578,AXM427,AXM
7055,10/3/2022,0.487,101.4452,182,575,A320,9M-AGM,1664756581,AXM427,AXM
7056,10/3/2022,0.4809,101.4451,181,450,A320,9M-AGM,1664756590,AXM427,AXM
7057,10/3/2022,0.4787,101.445,181,400,A320,9M-AGM,1664756594,AXM427,AXM
7058,10/3/2022,0.4767,101.445,181,375,A320,9M-AGM,1664756597,AXM427,AXM
7059,10/3/2022,0.4727,101.4448,181,300,A320,9M-AGM,1664756603,AXM427,AXM
7060,10/3/2022,0.4688,101.4447,181,225,A320,9M-AGM,1664756609,AXM427,AXM
7061,10/3/2022,0.4651,101.4446,181,225,A320,9M-AGM,1664756615,AXM427,AXM
7062,10/3/2022,0.463,101.4446,181,225,A320,9M-AGM,1664756618,AXM427,AXM
7063,10/3/2022,0.4616,101.4445,181,225,A320,9M-AGM,1664756621,AXM427,AXM
7064,10/3/2022,0.4586,101.4445,180,0,A320,9M-AGM,1664756627,AXM427,AXM
7065,10/3/2022,0.4559,101.4444,182,0,A320,9M-AGM,1664756635,AXM427,AXM
7066,10/3/2022,0.4549,101.4443,180,0,A320,9M-AGM,1664756639,AXM427,AXM
7067,10/3/2022,0.4542,101.4443,180,0,A320,9M-AGM,1664756643,AXM427,AXM
7068,10/3/2022,0.4537,101.4443,182,0,A320,9M-AGM,1664756646,AXM427,AXM
7069,10/3/2022,0.4526,101.4443,180,0,A320,9M-AGM,1664756654,AXM427,AXM
7070,10/3/2022,0.4522,101.4444,163,0,A320,9M-AGM,1664756658,AXM427,AXM
7071,10/3/2022,0.4518,101.4445,177,0,A320,9M-AGM,1664756662,AXM427,AXM
7072,10/3/2022,0.4518,101.4442,295,0,A320,9M-AGM,1664756671,AXM427,AXM
7073,10/3/2022,0.452,101.4442,343,0,A320,9M-AGM,1664756674,AXM427,AXM
7074,10/3/2022,0.4521,101.4442,2,0,A320,9M-AGM,1664756678,AXM427,AXM
7075,10/3/2022,0.4522,101.4442,5,0,A320,9M-AGM,1664756682,AXM427,AXM
7076,10/3/2022,0.4526,101.4442,2,0,A320,9M-AGM,1664756690,AXM427,AXM
7077,10/3/2022,0.4528,101.4442,2,0,A320,9M-AGM,1664756694,AXM427,AXM
7078,10/3/2022,0.4531,101.4443,2,0,A320,9M-AGM,1664756699,AXM427,AXM
7079,10/3/2022,0.4533,101.4443,2,0,A320,9M-AGM,1664756703,AXM427,AXM
7080,10/3/2022,0.4536,101.4443,2,0,A320,9M-AGM,1664756707,AXM427,AXM
7081,10/3/2022,0.4542,101.4443,2,0,A320,9M-AGM,1664756715,AXM427,AXM
7082,10/3/2022,0.4546,101.4443,2,0,A320,9M-AGM,1664756719,AXM427,AXM
7083,10/3/2022,0.455,101.4443,2,0,A320,9M-AGM,1664756723,AXM427,AXM
7084,10/3/2022,0.4557,101.4444,2,0,A320,9M-AGM,1664756731,AXM427,AXM
7085,10/3/2022,0.4561,101.4444,4,0,A320,9M-AGM,1664756735,AXM427,AXM
7086,10/3/2022,0.4564,101.4444,2,0,A320,9M-AGM,1664756738,AXM427,AXM
7087,10/3/2022,0.4569,101.4444,2,0,A320,9M-AGM,1664756743,AXM427,AXM
7088,10/3/2022,0.4577,101.4444,2,0,A320,9M-AGM,1664756751,AXM427,AXM
7089,10/3/2022,0.458,101.4444,2,0,A320,9M-AGM,1664756755,AXM427,AXM
7090,10/3/2022,0.4583,101.4444,4,0,A320,9M-AGM,1664756759,AXM427,AXM
7091,10/3/2022,0.4587,101.4445,2,0,A320,9M-AGM,1664756762,AXM427,AXM
7092,10/3/2022,0.4594,101.4445,7,0,A320,9M-AGM,1664756770,AXM427,AXM
7093,10/3/2022,0.4597,101.4445,2,0,A320,9M-AGM,1664756774,AXM427,AXM
7094,10/3/2022,0.4601,101.4445,2,0,A320,9M-AGM,1664756778,AXM427,AXM
7095,10/3/2022,0.4605,101.4445,2,0,A320,9M-AGM,1664756782,AXM427,AXM
7096,10/3/2022,0.4608,101.4445,2,0,A320,9M-AGM,1664756786,AXM427,AXM
7097,10/3/2022,0.4616,101.4445,356,0,A320,9M-AGM,1664756794,AXM427,AXM
7098,10/3/2022,0.462,101.4445,2,0,A320,9M-AGM,1664756798,AXM427,AXM
7099,10/3/2022,0.4624,101.4446,2,0,A320,9M-AGM,1664756803,AXM427,AXM
7100,10/3/2022,0.4629,101.4446,356,0,A320,9M-AGM,1664756807,AXM427,AXM
7101,10/3/2022,0.4635,101.4446,4,0,A320,9M-AGM,1664756814,AXM427,AXM
7102,10/3/2022,0.4638,101.4447,30,0,A320,9M-AGM,1664756819,AXM427,AXM
7103,10/3/2022,0.4638,101.4449,70,0,A320,9M-AGM,1664756823,AXM427,AXM
7104,10/3/2022,0.4638,101.4453,90,0,A320,9M-AGM,1664756831,AXM427,AXM
7105,10/3/2022,0.4638,101.4455,92,0,A320,9M-AGM,1664756835,AXM427,AXM
7106,10/3/2022,0.4638,101.4457,87,0,A320,9M-AGM,1664756838,AXM427,AXM
7107,10/3/2022,0.464,101.4458,47,0,A320,9M-AGM,1664756843,AXM427,AXM
7108,10/3/2022,0.4641,101.4459,22,0,A320,9M-AGM,1664756846,AXM427,AXM
7109,10/3/2022,0.4645,101.4459,2,0,A320,9M-AGM,1664756854,AXM427,AXM
7110,10/3/2022,0.4647,101.4459,2,0,A320,9M-AGM,1664756858,AXM427,AXM
7111,10/3/2022,0.4649,101.4459,2,0,A320,9M-AGM,1664756861,AXM427,AXM
7112,10/3/2022,0.4652,101.4461,45,0,A320,9M-AGM,1664756870,AXM427,AXM
7113,10/3/2022,0.4652,101.4462,70,0,A320,9M-AGM,1664756875,AXM427,AXM
