"flight_id","tanggal","icao24","latitude","longitude","heading","altitude","ground_speed","squawk","radar","aircraft_code","registration","time","departure","destination","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"372295","2023-03-06 14:58:46","8A084A","0.4156","101.4432","1","800","114",,"F-WIBB5","AT76","PK-WJU","1678089525","KNO","PKU","IW1239","IW1239","0","-384","WON1239","WON"
"372296","2023-03-06 14:58:51","8A084A","0.4173","101.4433","2","775","114",,"F-WIBB5","AT76","PK-WJU","1678089528","KNO","PKU","IW1239","IW1239","0","-704","WON1239","WON"
"372297","2023-03-06 14:58:56","8A084A","0.4203","101.4434","1","700","111",,"F-WIBB5","AT76","PK-WJU","1678089534","KNO","PKU","IW1239","IW1239","0","-640","WON1239","WON"
"372298","2023-03-06 14:59:01","8A084A","0.4219","101.4434","1","675","110",,"F-WIBB5","AT76","PK-WJU","1678089537","KNO","PKU","IW1239","IW1239","0","-640","WON1239","WON"
"372299","2023-03-06 14:59:06","8A084A","0.4266","101.4435","2","575","112",,"F-WIBB5","AT76","PK-WJU","1678089546","KNO","PKU","IW1239","IW1239","0","-576","WON1239","WON"
"372300","2023-03-06 14:59:11","8A084A","0.4281","101.4436","2","550","110",,"F-WIBB5","AT76","PK-WJU","1678089549","KNO","PKU","IW1239","IW1239","0","-576","WON1239","WON"
"372301","2023-03-06 14:59:16","8A084A","0.4296","101.4437","2","525","111",,"F-WIBB5","AT76","PK-WJU","1678089552","KNO","PKU","IW1239","IW1239","0","-512","WON1239","WON"
"372302","2023-03-06 14:59:21","8A084A","0.4314","101.4438","1","500","113",,"F-WIBB5","AT76","PK-WJU","1678089555","KNO","PKU","IW1239","IW1239","0","-512","WON1239","WON"
"372303","2023-03-06 14:59:26","8A084A","0.4363","101.4438","1","425","113",,"F-WIBB5","AT76","PK-WJU","1678089565","KNO","PKU","IW1239","IW1239","0","-704","WON1239","WON"
"372304","2023-03-06 14:59:31","8A084A","0.4378","101.4439","1","375","113",,"F-WIBB5","AT76","PK-WJU","1678089567","KNO","PKU","IW1239","IW1239","0","-640","WON1239","WON"
"372305","2023-03-06 14:59:36","8A084A","0.4409","101.444","1","325","110",,"F-WIBB5","AT76","PK-WJU","1678089573","KNO","PKU","IW1239","IW1239","0","-576","WON1239","WON"
"372306","2023-03-06 14:59:40","8A084A","0.4424","101.444","1","300","109",,"F-WIBB5","AT76","PK-WJU","1678089576","KNO","PKU","IW1239","IW1239","0","-576","WON1239","WON"
"372307","2023-03-06 14:59:45","8A084A","0.4439","101.444","1","275","110",,"F-WIBB5","AT76","PK-WJU","1678089579","KNO","PKU","IW1239","IW1239","0","-576","WON1239","WON"
"372308","2023-03-06 14:59:50","8A084A","0.4485","101.4442","1","175","111",,"F-WIBB5","AT76","PK-WJU","1678089588","KNO","PKU","IW1239","IW1239","0","-576","WON1239","WON"
"372309","2023-03-06 14:59:55","8A084A","0.4499","101.4442","1","175","110",,"F-WIBB5","AT76","PK-WJU","1678089591","KNO","PKU","IW1239","IW1239","0","-640","WON1239","WON"
"372310","2023-03-06 15:00:00","8A084A","0.4533","101.4443","2","150","102",,"F-WIBB5","AT76","PK-WJU","1678089598","KNO","PKU","IW1239","IW1239","0","-192","WON1239","WON"
"372311","2023-03-06 15:00:05","8A084A","0.4547","101.4444","2","0","94",,"F-WIBB5","AT76","PK-WJU","1678089601","KNO","PKU","IW1239","IW1239","1","0","WON1239","WON"
"372312","2023-03-06 15:00:10","8A084A","0.4576","101.4444","2","0","68",,"F-WIBB5","AT76","PK-WJU","1678089609","KNO","PKU","IW1239","IW1239","1","0","WON1239","WON"
"372313","2023-03-06 15:00:15","8A084A","0.459","101.4445","2","0","56",,"F-WIBB5","AT76","PK-WJU","1678089614","KNO","PKU","IW1239","IW1239","1","0","WON1239","WON"
"372314","2023-03-06 15:00:20","8A084A","0.46","101.4445","2","0","50",,"F-WIBB5","AT76","PK-WJU","1678089618","KNO","PKU","IW1239","IW1239","1","0","WON1239","WON"
"372315","2023-03-06 15:00:25","8A084A","0.4609","101.4445","2","0","43",,"F-WIBB5","AT76","PK-WJU","1678089622","KNO","PKU","IW1239","IW1239","1","0","WON1239","WON"
"372316","2023-03-06 15:00:30","8A084A","0.4617","101.4445","2","0","38",,"F-WIBB5","AT76","PK-WJU","1678089626","KNO","PKU","IW1239","IW1239","1","0","WON1239","WON"
